Artikeltext1;Gruppe;MwSt;vkNetto;vkBrutto
Schwip Schwap Orange 0,2l 24er Kiste;Getränke;19;10,99;13,08
Pepsi Cola 0,2l 24er Kiste;Getränke;19;10,99;13,08
Pepsi Zero 0,2l 24er Kiste;Getränke;19;10,99;13,08
7 UP 0,2l 24er Kiste;Getränke;19;10,99;13,08
Pepsi Cola 0,33l 24er Kiste;Getränke;19;14,49;17,24
Pepsi Zero 0,33l 24er Kiste;Getränke;19;14,49;17,24
Selters Culinarea Gastro Classic 0,25l 24er Kiste;Getränke;19;8,99;10,7
Selters Naturell Gastro 0,25l 24er Kiste;Getränke;19;8,99;10,7
Selters Culinarea Gastro Classic 0,75l 12er Kiste;Getränke;19;8,99;10,7
Selters Naturale Gastro 0,75l 12er Kiste;Getränke;19;7,99;9,51
Akpinar Classic Gourmet 0,75l 12er Kiste;Getränke;19;7,99;9,51
Akpinar Naturell Gourmet 0,75l 12er Kiste;Getränke;19;8,49;10,1
Akpinar Classic Gourmet 0,25l 20er Kiste;Getränke;19;7,49;8,91
Akpinar Naturell Gourmet 0,25l 20er Kiste;Getränke;19;7,49;8,91
Acqua Fonte Pura Naturale 0,25l 24er Kiste;Getränke;19;7,99;9,51
Acqua Fonte Pura Frizzante 0,25l 24er Kiste;Getränke;19;7,99;9,51
FuzeTea Pfirsisch 0,25l Glasflasche 24 er Pack;Getränke;19;15,49;18,43
FuzeTea Pfirsisch 0,4l PET 12er Pack;Getränke;19;9,99;11,89
FuzeTea Zitrone 0,4l PET 12er Pack;Getränke;19;9,99;11,89
HabibTea Zitrone 0,5l 12er Pack;Getränke;19;10,49;12,48
HabibTea Pfirsisch 0,5l 12er Pack;Getränke;19;10,49;12,48
HabibTea DoppelApfel 0,5l 12er Pack;Getränke;19;10,49;12,48
HabibTea Wassermelone 0,5l 12er Pack;Getränke;19;10,49;12,48
HabibTea Traube Minze 0,5l 12er Pack;Getränke;19;10,49;12,48
HabibTea Energy Classic 0,25l 24er Pack;Getränke;19;22,99;27,36
Fire of Istanbul Gazoz 0,33l 24er Pack;Getränke;19;9,99;11,89
Fire of Istanbul Portakal 0,33l 24er Pack;Getränke;19;9,99;11,89
Capri Sun Cola 10x200 ml;Getränke;19;2,99;3,56
Capri Sun Elfentrank 10x200ml Karton;Getränke;19;2,99;3,56
Capri Sun Jungle Drink 10x200ml Karton;Getränke;19;2,99;3,56
Capri Sun Kirsche 10x200ml Karton;Getränke;19;2,99;3,56
Capri Sun Monster Alarm 10x200ml Karton;Getränke;19;2,99;3,56
Capri Sun Multivitamin 10x200ml Karton;Getränke;19;2,99;3,56
Capri Sun Multivitamin Zero 10x200ml Karton;Getränke;19;2,99;3,56
Capri Sun Mystic Dragon 10x200ml Karton;Getränke;19;2,99;3,56
Capri Sun Orange 10x200ml Karton;Getränke;19;2,99;3,56
Capri Sun Safari 10x200ml Karton;Getränke;19;2,99;3,56
Durstlöscher Waldmeister 500ml 12er Pack;Getränke;19;0,5;0,59
Durstlöscher Banane Sauerkirsche 500ml 12er Pack;Getränke;19;0,5;0,59
Durstlöscher Apfel Orange 500ml 12er Pack;Getränke;19;0,5;0,59
Durstlöscher Bubble Gum 500ml 12er Pack;Getränke;19;0,5;0,59
Durstlöscher Blueberry-Vanille 500ml x 12;Getränke;19;0,5;0,59
Durstlöscher Black Mystery 500ml 12er Pack;Getränke;19;0,5;0,59
Durstlöscher Honigmelone-Zitrone 500ml x 12 ;Getränke;19;0,5;0,59
Durstlöscher Erdbeer-Rhabarber 500ml x 12;Getränke;19;0,5;0,59
Durstlöscher Mango Eistee 500ml x 12;Getränke;19;0,5;0,59
Durstlöscher Cola 500ml x 12;Getränke;19;0,5;0,59
FANTA Orange 0,5l PET 12er Pack;Getränke;19;10,49;12,48
Mezzo Mix 0,5l PET 12er Pack;Getränke;19;10,49;12,48
Coke Light  0,5l PET-Einwegflasche 12er Pack;Getränke;19;10,49;12,48
Coca Cola  1Lt  12er PET;Getränke;19;11,69;13,91
FANTA Orange  1Lt  - 12er PET;Getränke;19;11,69;13,91
SPRITE  1Lt  - 12er PET;Getränke;19;11,69;13,91
Mezzo Mix  1Lt  - 12er PET;Getränke;19;11,69;13,91
Coke Zero  1Lt  - 12er PET;Getränke;19;11,69;13,91
FANTA  Mango Dragon  0,33Lt  Dose - 24er Pack;Getränke;19;9,99;11,89
FANTA  Cassis  0,33Lt  Dose - 24er Pack;Getränke;19;9,99;11,89
FANTA  Apfel Cherry  0,33Lt  Dose - 24er Pack;Getränke;19;9,99;11,89
FuzeTea  Pfirsisch  0,33l Dose - 24er Pack;Getränke;19;12,49;14,86
FuzeTea  Zitrone  0,33l Dose - 24er Pack;Getränke;19;12,49;14,86
VIO  0,25l  Glasflasche - 24er Kiste;Getränke;19;7,49;8,91
POWERADE BLAU  0,5l  PET - 12er Pack;Getränke;19;11,79;14,03
Gaffel Wiess 0,33l 24er Kiste;Alkohol;19;16,99;20,22
Mühlen Kölsch 0,5l 20er Kiste;Alkohol;19;17,49;20,81
Mühlen Kölsch 0,33l 20er Kiste;Alkohol;19;14,49;17,24
Reissdorf Kölsch 0,5l 20er Kiste;Alkohol;19;15,49;18,43
Reissdorf Kölsch 0,33l 24er Kiste;Alkohol;19;14,49;17,24
Bitburger Pils 0,5l Glasflasche 20er Kiste;Alkohol;19;17,99;21,41
Tyskie Pils 0,5l Glasflasche 20er Kiste;Alkohol;19;17,99;21,41
Lech Pils 0,5l 20er Kiste;Alkohol;19;17,99;21,41
Augustiner Hell 0,5l 20er Kiste;Alkohol;19;18,95;22,55
Karlsberg Mixery Cola 0,5l 20er Kiste;Alkohol;19;19,99;23,79
Karlsberg Mixery Cola 0,33l 24er Kiste;Alkohol;19;18,29;21,77
Vitamalz 0,5l 20er Kiste;Alkohol;19;12,49;14,86
Vitamalz 0,33l 24er Kiste;Alkohol;19;12,49;14,86
Krombacher Pils 0,5l 20er Kiste;Alkohol;19;17,49;20,81
Krombacher Pils 0,33l 24er Kiste;Alkohol;19;17,29;20,58
Warsteiner Pils 0,5l 20er Kiste;Alkohol;19;18,99;22,6
Veltins Pils 0,5l 20er Kiste;Alkohol;19;18,49;22
Veltins Pils 0,33l 24er Kiste;Alkohol;19;17,99;21,41
Erdinger Hefe Weißbier 0,5l 20er Kiste;Alkohol;19;20,99;24,98
Erdinger alkoholfrei 0,5l 20er Kiste;Alkohol;19;20,99;24,98
Paulaner Hefe Weißbier naturtrüb 0,5l 20er Kiste;Alkohol;19;19,99;23,79
Paulaner alkoholfrei 0,5l 20er Kiste;Alkohol;19;19,99;23,79
Sion Kölsch 0,33l 24er Kiste;Alkohol;19;12,99;15,46
Jever Pils 0,5l 20er Kiste;Alkohol;19;17,99;21,41
Jever Pils 0,33l 24er Kiste;Alkohol;19;17,49;20,81
Budweiser Pils 0,5l 20er Kiste;Alkohol;19;19,95;23,74
Budweiser Pils 0,33l 24er Kiste;Alkohol;19;19,95;23,74
Spaten Münchner Hell 0,5l 20er Kiste;Alkohol;19;18,49;22
Beck´s Pils 0,5l 20er Kiste;Alkohol;19;17,95;21,36
Beck´s Pils 0,33l 24er Kiste;Alkohol;19;17,49;20,81
Corona Extra 0,355l 24er Pack;Alkohol;19;24,95;29,69
Peroni Nastro Azzurro 24er Kiste;Alkohol;19;22,49;26,76
Gilden Kölsch 0,5l 20er Kiste;Alkohol;19;13,79;16,41
Warsteiner Pils 0,33l 24er Kiste;Alkohol;19;17,49;20,81
Bitburger Pils 0,33l 24er Kiste;Alkohol;19;18,69;22,24
Gaffel Kölsch 0,5l 20er Kiste;Alkohol;19;17,49;20,81
Gaffel Kölsch 0,33l 24er Kiste;Alkohol;19;16,49;19,62
San Miguel 0,33l 24er Kiste;Alkohol;19;19,49;23,19
Klüngels 0,33l 5,10% Vol. 24er Kiste;Alkohol;19;13,49;16,05
Heineken Pils 0,33l 24er Kiste;Alkohol;19;20,49;24,38
Heineken Pils 0,25l 28er Kiste;Alkohol;19;18,75;22,31
Desperados 0,33l 24er Kiste;Alkohol;19;29,99;35,69
Birra Moretti 0,33l 24er Kiste;Alkohol;19;19,79;23,55
Früh Kölsch 0,5l Glasflasche 20er Kiste;Alkohol;19;14,95;17,79
Früh Kölsch 0,33l Glasflasche 24er Kiste;Alkohol;19;14,29;17,01
Früh Kölsch 0,0% 0,33l 24er Kiste;Alkohol;19;13,99;16,65
Früh Kölsch 0,33l 4x6 24er Kiste;Alkohol;19;14,99;17,84
Früh Sport Zitrone 0,33l 24er Kiste;Alkohol;19;13,49;16,05
Früh NaturRadler 0,33l 24er Kiste;Alkohol;19;14,29;17,01
Schreckenskammer Kölsch 0,5l 20er Kiste;Alkohol;19;15,49;18,43
Schreckenskammer Kölsch 0,33l 20er Kiste;Alkohol;19;13,49;16,05
Schreckenskammer alkoholfrei 0,33l 20er Kiste;Alkohol;19;13,49;16,05
Milram Vollmilchjoghurt 3,5% natur - 5kg;Molkerei;7;6,49;6,94
Milram Vollmilchjoghurt 3,5% natur - 10kg;Molkerei;7;12,49;13,36
