Artikeltext1;Gruppe;MwSt;vkNetto;vkBrutto
ANDU Premium BT Shrimps 90/120 - 1kg;TK Tiefkühl;7;9,99;10,69
ANDU Black Tiger roh geschält  6/8 - 1kg;TK Tiefkühl;7;18,99;20,32
ANDU Black Tiger roh geschält  16/20 - 10x1kg;TK Tiefkühl;7;11,99;12,83
ANDU Vannamei roh geschält  16/20 - 1kg;TK Tiefkühl;7;8,99;9,62
ANDU Black Tiger roh geschält  13/15 - 1kg;TK Tiefkühl;7;13,99;14,97
ANDU VN roh geschält  41/50 - 1kg;TK Tiefkühl;7;7,99;8,55
La Perla Thunfisch Stücke im eigenen Saft und Aufguss 1705g;Konserven;7;7,99;8,55
La Perla Thunfisch Stücke 1705g In Öl;Konserven;7;7,99;8,55
La Perla Grün Jalapenos in Scheiben 3kg;Konserven;7;3,99;4,27
La Perla Ananas Scheiben leicht gezuckert 3.035g;Konserven;7;5,79;6,2
La Perla Kichererbsen 2,5 kg;Konserven;7;3,19;3,41
La Perla Kidney-Bohnen 2,5kg;Konserven;7;3,79;4,06
La Perla Artischockenherzen 2,5kg;Konserven;7;7,19;7,69
La Perla Grün Oliven Ohne Stein 4150kg;Konserven;7;8,49;9,08
La Perla Oliven schwarz ohne Stein 4100g;Konserven;7;8,49;9,08
La Perla Oliven Schwarz geschnitten 4100g;Konserven;7;8,49;9,08
La Perla Ananas Stücke 3.035g;Konserven;7;5,49;5,87
Aviko Frisch Super Crunch Fresh 11mm 2x4500g;Kühlschrankware;7;16,05;17,17
Lutosa Pommes Frisch 7mm 2x5kg;Kühlschrankware;7;12,79;13,69
Lutosa Frisch Pommes 10mm 2x5kg;Kühlschrankware;7;12,79;13,69
Aviko Pommes PLUS 10mm 2x5kg;Kühlschrankware;7;13,79;14,76
Aviko Pommes PLUS Fresch  7mm  2x5kg;Kühlschrankware;7;13,79;14,76
Aviko  Pommy PLUS  14mm;Kühlschrankware;7;16,49;17,64
TK Aviko Steakhouse Pommes 10x20mm - 2,5kg;Kühlschrankware;7;21,99;23,53
TK Aviko Wedges Spicy 2,5kg;TK Tiefkühl;7;5,29;5,66
TK Foodworks Chicken Nuggets Backteig ca.22g 1kg;TK Tiefkühl;7;6,29;7,49
TK Sprehe Hähnchen Brust Filet paniert 160g 3kg;TK Tiefkühl;7;22,99;24,6
TK Sprehe Hähnchen Brust Filet natur 120g 3kg;TK Tiefkühl;7;26,49;28,34
TK Sprehe Hähnchen Brust Filet paniert 180g 3kg;TK Tiefkühl;7;22,99;24,6
TK Sprehe Hähnchen Brust Filet natur 160g 3kg;TK Tiefkühl;7;26,49;28,34
TK Salomon Knusperschnitzel 200g;TK Tiefkühl;7;49,99;53,49
TK Salomon Schnitzel Gold 40x200g - 8kg;TK Tiefkühl;7;44,99;48,14
TK Sprehe Hähnchen Brust Filet paniert 140g 3kg;TK Tiefkühl;7;22,99;24,6
Wernsing Salat-Mayonnaise Gold 50% 10kg;Saucen;7;26,29;28,13
Wernsing Curry-Ketchup Gold 10kg;Saucen;7;20,29;21,71
Wernsing Tomaten-Ketchup Portionen 100st;Saucen;7;8,49;9,08
Wersing Curry-Gewürz Ketchup scharf 10kg;Saucen;7;23,49;25,13
Balsamico Bianco Condimento 500ml;Saucen;7;6,99;7,48
Balsamico Essig dunkel 12x500ml;Saucen;7;4,09;4,38
Palmetta Stangen-Fett 4x2,5;Lebensmittel;7;24,99;29,74
Walter Rau Flürin Classic 10L;Öle;7;27,49;29,41
OPTIMA Frittier Fit  PRO 60 10L;Öle;7;24,99;26,74
Hogriflex halbflüssig 10L;Öle;7;24,99;26,74
Goldaue Geflügel Bratwurst 120g ESC Darm;Kühlschrankware;7;10,99;11,76
TK Salomon Sunny Veggie Burger 1,3kg;TK Tiefkühl;7;8,99;9,62
TK Ranch Master Hamburger 25x180g - 4,5kg;TK Tiefkühl;7;54,99;58,84
TK Ranch Master Hamburger 80 St. 62,5g;TK Tiefkühl;7;59,99;64,19
TK Ranch Master Hamburger 50st 100g;TK Tiefkühl;7;60,99;65,26
TK Ranch Master Hamburger 40St 125g;TK Tiefkühl;7;60,99;65,26
TK Salomon Crunchy Chicken Burger 135g 1,5kg Beutel;TK Tiefkühl;7;15,49;16,57
TK Hogrimex Kroketten  5kg;TK Tiefkühl;7;7,99;8,55
TK Aviko Kroketten Lang  4x2,5;TK Tiefkühl;7;5,49;5,87
TK Lutosa Backofen Kroketten 2,5kg;TK Tiefkühl;7;4,79;5,13
TK McCain Kroketten lang 2,5kg;TK Tiefkühl;7;6,29;6,73
TK Salomon Cevapcici Roh Ranch Master 25g 1kg;TK Tiefkühl;7;15,49;18,43
TK Bamischeibe36x100g Mora - 3,6kg;TK Tiefkühl;7;16,99;20,22
Hela Curry-Gewürz Ketchup Delikat Tube 800ml;Saucen;7;2,99;3,2
Wernsing Curry Gewürz Ketchup 800ml Tube;Saucen;7;2,99;3,2
Hela Curry-Gewürz Ketchup leicht scharf 800ml Tube;Saucen;7;2,99;3,2
Citadel Pizza-Sauce 4200g;Saucen;7;7,69;8,23
Kraft Joghurt Dressing 5kg;Saucen;7;14,49;15,5
Kraft french Dressing 5kg;Saucen;7;18,49;19,78
Champignon geschnitten 3.Wahl 2650ml;Konserven;7;6,29;6,73
Tabasco 350ml;Saucen;7;10,99;11,76
Tabasco 57ml;Saucen;7;2,69;2,88
"FUCHS Curry Goldelefant"" 1Kg""";Gewürze;7;11,49;12,29
FUCHS Paprika Edelsüss 1Kg;Gewürze;7;12,79;13,69
FUCHS paprika Rosenscharf 1Kg;Gewürze;7;12,49;13,36
FUCHS Pfeffer Weiss Gemalen 1Kg;Gewürze;7;30,99;33,16
FUCHS Pommes Frites Salz 2Kg ;Gewürze;7;7,29;7,8
FUCHS Hähnchen-Gewürz 2Kg;Gewürze;7;8,49;9,08
FUCHS Knoblauchpulver 1Kg ;Gewürze;7;16,99;18,18
Ajvar mild 2500g;Saucen;7;8,99;9,62
Puma Peynir (Käse) Rot 40% 16kg;Kühlschrankware;7;59,99;71,39
Joghurt Proto 10% 10kg;Kühlschrankware;7;21,69;23,21
TK Salomon Buffalo Chicken Wings extra hot 2,5kg;TK Tiefkühl;7;18,99;20,32
TK Salomon Chicken Wing Virginia BBQ  2,5kg;TK Tiefkühl;7;5,69;6,09
TK Salomon Onion-Ring Thick Cut 1kg;TK Tiefkühl;7;6,79;7,27
TK Salomon Chili Cheese Nuggets 1kg;TK Tiefkühl;7;9,09;9,73
TK Salomon Mozzarella-Sticks 8cm 1kg;TK Tiefkühl;7;9,99;10,69
Hela Gewürz-Ketchup Curry Delikat 300ml;Saucen;7;1,99;2,13
Hela Curry-Gewürz Ketchup leicht scharf 300ml;Saucen;7;1,99;2,13
Weißkohl;Gemüse;7;9,99;10,69
Rotkohl 25kg Sack;Gemüse;7;0;0
Möhren 10 Kg Sack;Gemüse;7;0;0
Möhren 12,5 Kg;Gemüse;7;15,6;16,69
Eisbergsalat 10St;Gemüse;7;0;0
Rote Zwiebeln Größe 70-90  10 Kg;Gemüse;7;0;0
Paprika Gelb 5 Kg;Gemüse;7;0;0
Paprika Grün 5 Kg;Gemüse;7;0;0
Paprika Rot 5 Kg;Gemüse;7;12,6;13,48
Ananas 10kg;Obst;7;0;0
Strauchtomaten / Baum  5 Kg;Gemüse;7;4,99;5,34
Melone Piel de Sapo 7St (Zuckermelone grün spitz);Obst;7;0;0
Nektarinen 10x500g;Obst;7;0;0
Honigmelone;Obst;7;0;0
China Kohl 10kg;Gemüse;7;8,75;9,36
Grün  Zucchini 5kg;Gemüse;7;0;0
Auberginen NL  5 Kg;Gemüse;7;4,99;5,34
Blumenkohl;Gemüse;7;9,37;10,03
Grapefruit Premium 55St;Obst;7;0;0
Bananen 18 Kg;Obst;7;0;0
La Perla Schältomaten 2500g 3/1 Dose;Konserven;7;2,99;3,2
Cherry-Strauchtomaten mini 3kg;Gemüse;7;0;0
Ingwer 12,5 Kg;Gemüse;7;0;0
Zitronen;Obst;7;0;0
Tomaten BB (67-70)  6kg;Gemüse;7;0;0
Dates Medjoul Delight (LARGE)  5Kg;Obst;7;35,49;37,97
Dates Medjoul Premium (JUMBO)  5Kg;Obst;7;55,99;59,91
Dates Medjoul Premium KARAS (LARGE)  5Kg;Obst;7;55,99;59,91
Dates Medjoul Superior  (MEDIUM) 5 Kg;Obst;7;37,99;40,65
Dates Medjoul Superior (LARGE)  2 Kg;Obst;7;17,99;19,25
Dates Medjoul Superior (LARGE)  8x1 kg;Obst;7;8,49;9,08
Mr Oxy Feuchttücher Easy Clean vers. Sorten 100er Pack;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Mr Oxy Feuchttücher Easy Clean Zitronenduft 100er Pack;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Mr Oxy Feuchttücher Easy Clean Bleiche Blau;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Mr Oxy Feuchttücher Easy Clean Weiße Seife 100er Pack;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Mr Oxy Feuchttücher Easy Clean Kirschblüte 100er Pack;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Mr Oxy Feuchttücher Easy Clean Weiße Seife & Natron 100er Pack;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Mr Oxy Maxima Spülmittel Weiße Seife & Natron 650ml;Verpackung/Reinigungsmittel/Hygiene;19;1,49;1,77
Mr Oxy Maxima Spülmittel Limon Kokulu 650ml;Verpackung/Reinigungsmittel/Hygiene;19;1,49;1,77
Mr Oxy Maxima Spülmittel Elma Kokulu 650ml;Verpackung/Reinigungsmittel/Hygiene;19;1,49;1,77
Mr Oxy Maxima Spülmittel Yaban Mersini Blau 650ml;Verpackung/Reinigungsmittel/Hygiene;19;1,49;1,77
Mr Oxy Vollwaschmittel Color XXXL 85W 5,1kg + GRATIS Mr Oxy Weichspüler 1l;Verpackung/Reinigungsmittel/Hygiene;19;7,89;9,39
Mr Oxy Vollwaschmittel  XXXL 85 W 5,1kg + GRATIS Mr Oxy Weichspüler 1l;Verpackung/Reinigungsmittel/Hygiene;19;7,89;9,39
Mr Oxy Weichspüler Konzentrat Lavanta Manolya 1440ml;Verpackung/Reinigungsmittel/Hygiene;19;2,19;2,61
Mr Oxy Weichspüler Konzentrat Lilyum & Mavi Lotus 1440ml;Verpackung/Reinigungsmittel/Hygiene;19;2,19;2,61
Mr Oxy Weichspüler Konzentrat Sakayik & Müge 1440ml;Verpackung/Reinigungsmittel/Hygiene;19;1,19;1,42
PorCöz Backofenreiniger 750ml Spray;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
PorCöz Badezimmerreiniger 750ml Spray;Verpackung/Reinigungsmittel/Hygiene;19;1,59;1,89
PorCöz Bleichmittel Dickflüssig Camasir Suyu Bahar Tazeligi 750ml;Verpackung/Reinigungsmittel/Hygiene;19;0,99;1,18
PorCöz Bleichmittel dickflüssig Camasir Suyu Yaz Yagmuru 750ml;Verpackung/Reinigungsmittel/Hygiene;19;0,99;1,18
PorCöz Fettlöser Yag Cözücü 1l;Verpackung/Reinigungsmittel/Hygiene;19;1,59;1,89
PorCöz Fettlöser Yag Cözücü 750ml Spray;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
PorCöz Rohrfrei Gel, Lavabo Acici Jel 1l;Verpackung/Reinigungsmittel/Hygiene;19;1,59;1,89
PorCöz Rohrfrei Granulat, Lavabo Acici Granül 100g;Verpackung/Reinigungsmittel/Hygiene;19;1,19;1,42
PorCöz Rost- & Kalklöser, Pas ve Kirec Cözücü 1l;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
PorCöz Rost- & Kalklöser, Pas ve Kirec Cözücü 750ml Spray;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
PorCöz Waschmittelpulver Weiß- & Buntwäsche 3kg;Verpackung/Reinigungsmittel/Hygiene;19;3,29;3,92
PorCöz Waschmittelpulver Weiß- & Buntwäsche 9kg;Verpackung/Reinigungsmittel/Hygiene;19;8,99;10,7
Elidor Shampoo Definierte Locken 400ml;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Elidor Shampoo Feuchtigkeit & Glanz 400ml;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Elidor Shampoo Perfekte Glätte 400ml;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Elidor Shampoo Lichtschimmer+Seideneffekt 400ml;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Elidor Spülung Definierte Locken 350ml;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Elidor Spülung Feuchtigkeit & Glanz 350ml;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Elidor Spülung Perfekte Glätte 350ml;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Elidor Spülung Lichtschimmer+Seideneffekt 350ml;Verpackung/Reinigungsmittel/Hygiene;19;1,69;2,01
Klorak Camasir Suyu, Bleichmittel 940ml;Verpackung/Reinigungsmittel/Hygiene;19;0,89;1,06
Biotol Fettlöser, Yag Sökücü 2+1 GRATIS 1l;Verpackung/Reinigungsmittel/Hygiene;19;3,39;4,03
Biotol Schwamm Grooved Sponge 5er Pack;Verpackung/Reinigungsmittel/Hygiene;19;0,49;0,58
Biotol Schwamm Grooved Sponge 10er Pack;Verpackung/Reinigungsmittel/Hygiene;19;0,79;0,94
Biotol Super Duo Fettlöser + Oven & Hob Reiniger 2x 1l;Verpackung/Reinigungsmittel/Hygiene;19;3,29;3,92
OMO Flüssigwaschmittel Apple Blossom & Water Lily 100W, 5l;Verpackung/Reinigungsmittel/Hygiene;19;9,19;10,94
OMO Kapseln Lavendel & Eukalyptus 42W 840g;Verpackung/Reinigungsmittel/Hygiene;19;6,49;7,72
OMO Kapseln Marseille Soap 42W 840g;Verpackung/Reinigungsmittel/Hygiene;19;6,49;7,72
OMO Kapseln Rose Blossom & Morning Dew 42W 840g;Verpackung/Reinigungsmittel/Hygiene;19;6,49;7,72
OMO Kapseln White Orchid & Mint 42W 840g;Verpackung/Reinigungsmittel/Hygiene;19;6,49;7,72
OMO Waschmittel Pulver Apple Blossom & Water Lily 100W 5kg;Verpackung/Reinigungsmittel/Hygiene;19;9,19;10,94
OMO Waschmittel Pulver Tropical Lily 100W 5kg;Verpackung/Reinigungsmittel/Hygiene;19;9,19;10,94
4 Square Deodorant 2+1 GRATIS 150g;Verpackung/Reinigungsmittel/Hygiene;19;1,99;2,37
4 Square Shaving Foam Sensitive Cool 2+1 GRATIS 200ml;Verpackung/Reinigungsmittel/Hygiene;19;1,99;2,37
Garden Air Lufterfrischer Raumspray Mix 2+1 GRATIS 3x300ml;Verpackung/Reinigungsmittel/Hygiene;19;1,8;2,14
WOW Niche Shampoo Argan Oil 1l;Verpackung/Reinigungsmittel/Hygiene;19;3,19;3,8
WOW Niche Shampoo Schwarzer Knoblauch 1l;Verpackung/Reinigungsmittel/Hygiene;19;3,19;3,8
WOW Niche Shampoo Schwarzkümmelöl 1l;Verpackung/Reinigungsmittel/Hygiene;19;3,19;3,8
WOW Niche Shampoo Mint Menthol 1l;Verpackung/Reinigungsmittel/Hygiene;19;3,19;3,8
WOW Niche Shampoo Olivenöl 1l;Verpackung/Reinigungsmittel/Hygiene;19;3,19;3,8
Lorena Weizen für Asure 1kg;Lebensmittel;7;1,39;1,49
Lorena Saubohnen geschält 1kg;Lebensmittel;7;1,95;2,32
Lorena Gelbe Erbsen Split 1kg;Lebensmittel;7;1,09;1,3
Lorena Grüne Erbsen Split 1kg;Lebensmittel;7;1,59;1,89
Lorena Rote Kidneybohnen 1kg;Lebensmittel;7;2,55;3,03
Lorena Weiße Bohnen 1kg;Lebensmittel;7;1,8;2,14
Lorena Kidney Bohnen 1kg;Lebensmittel;7;2,19;2,61
Lorena Kichererbsen 1kg;Lebensmittel;7;2,29;2,73
Lorena Popcorn Mais1kg;Lebensmittel;7;1,19;1,42
Lorena Grüne Linsen 6mm 1kg;Lebensmittel;7;1,59;1,89
Lorena Grüne Linsen 4mm 1kg;Lebensmittel;7;1,45;1,73
Lorena Rote Linsen Split 1kg;Lebensmittel;7;1,55;1,84
Lorena Football Rote Linsen 1kg;Lebensmittel;7;1,59;1,89
Lorena Kichererbsen 9mm 1kg;Lebensmittel;7;1,85;2,2
AKFA Domates Sosu Pizzasauce 4100g;Lebensmittel;7;5,49;6,53
AKFA Biber Salcasi ACI Paprikamark scharf Glass 710ml;Lebensmittel;7;1,69;2,01
AKFA Biber Salcasi TATLI Paprikamark süß Glass 710ml;Lebensmittel;7;1,69;2,01
Lorena Schwarze Oliven mit Stein Dose 5/1;Konserven;7;9;10,71
Lorena Schwarze Oliven in Scheiben Dose 5/1;Konserven;7;9;10,71
Lorena Grüne Oliven ohne Stein Doise 5/1;Konserven;7;9;10,71
Lorena Grüne Oliven in Scheiben Dose 5/1;Konserven;7;9;10,71
Lorena Grüne Oliven mit Stein Dose 5/1;Konserven;7;9;10,71
Lorena Schwarze Oliven ohne Stein Dose 5/1;Konserven;7;9;10,71
Gülcan gegrillte Auberginen Glas 2,4kg;Konserven;7;5,19;6,18
Lorena gegrillte Auberginen 2,8kg Dose;Konserven;7;5,19;6,18
Lorena gegrillte Auberginen 2,4kg;Konserven;7;5,19;6,18
Lorena gegrillter Auberginensalat 1,55kg;Konserven;7;3,49;4,15
Lorena geschälte Tomaten 2,55kg Dose;Konserven;7;3,29;3,92
Lorena Tomaten geschält gehackt 2,5kg Dose;Konserven;7;3,29;3,92
Lorena Weinblätter gefüllt mit Reis 1,95kg Dose;Konserven;7;6,39;6,84
Lorena Weinblätter gefüllt mit Reis 400g Dose;Konserven;7;1,59;1,89
Lorena aromatisiertes Speiseöl mit Olivenöl PET 1l;Öle;7;3,99;4,27
Lorena aromatisiertes Speiseöl mit Olivenöl PET 3l;Öle;7;10,99;11,76
Lorena aromatisiertes Speiseöl mit Olivenöl PET 5l;Öle;7;15,99;17,11
Gülcan Paprikamark scharf PET 4,3kg;Konserven;7;11,79;12,62
Gülcan Paprikamark mild PET 4,3kg;Konserven;7;11,79;12,62
Gülcan Tomaten-Paprikapaste PET 4,3kg;Konserven;7;12;12,84
Gülcan Tomatenmark Brix 28-30% 800g Dose;Konserven;7;1,19;1,27
Gülcan Paprikamark scharf  Glas 370g;Konserven;7;1,19;1,27
Gülcan Paprikamark scharf Glas 650g;Konserven;7;1,95;2,09
Gülcan Paprikamark scharf PET 1,65kg;Konserven;7;4,79;5,13
Gülcan Paprikamark mild Glas 370g;Konserven;7;1,2;1,28
Gülcan Paprikamark mild Glas 650g;Konserven;7;1,95;2,09
Gülcan Paprikamark mild PET 1,65kg;Konserven;7;4,79;5,13
Gülcan Tomaten-Paprikapaste Glas 370g;Konserven;7;1,19;1,27
Gülcan Tomaten-Paprikapaste Glas 650g;Konserven;7;2,09;2,24
Gülcan Tomaten-Paprikapaste PET 1,65kg;Konserven;7;4,69;5,02
Gülcan Tomatenmark Brix 28-30% Glas 370g;Konserven;7;1,09;1,17
Gülcan Tomatenmark Brix 28-30% Glas 650g;Konserven;7;1,69;1,81
Gülcan Tomatenmark Brix  32-34% PET 1,65kg;Konserven;7;3,99;4,27
Gülcan Tomatenmark Brix 32-34%  Pet  4,3kg;Konserven;7;10,8;11,56
Gülcan schwarze Oliven mit Stein Fici XS BLAUE Dose 1,4kg;Konserven;7;7,29;7,8
Gülcan schwarze Oliven mit Stein Fici M-S GRAUE Dose 1,4kg;Konserven;7;8,49;9,08
Gülcan schwarze Oliven mit Stein Fici M-S rote Dose 700g;Konserven;7;4,89;5,23
Gülcan schwarze Oliven mit Stein XS-2XS BLAUE Dose 700g;Konserven;7;3,99;4,27
Gülcan Kichererbsen 850ml Dose;Konserven;7;0,99;1,06
Lorena Bohnen in Tomatensauce 2,65l Dose;Konserven;7;4,09;4,38
Lipton Tee Yellow Standard 100er Beutel 150g;Lebensmittel;7;2,69;2,88
Lipton TeeEarl Grey Black Tea 100er Beutel 160g;Lebensmittel;7;2,69;2,88
Lipton Tee Yellow Label 25er 160g;Lebensmittel;7;1,19;1,42
Arabian Garden Basmati Reis Sella 4,5kg;Lebensmittel;7;8,4;10
Gülcan Pirinc Tosya Reis 5kg;Lebensmittel;7;7,29;7,8
Gülcan Pirinc Tosya Reis 1kg;Lebensmittel;7;1,69;1,81
Arabian Garden Basmati Reis Sella 900g;Lebensmittel;7;1,85;2,2
Gülcan Aci Toz Biber, Paprika gemahlen Extra 1kg;Gewürze;7;6,99;7,48
Gülcan Ak Toz Biber, Weißer Pfeffer gemahlen 1kg;Gewürze;7;15,69;16,79
Gülcan Kekik Pul, Oregano 1kg;Gewürze;7;12,09;12,94
Gülcan Toz Kimyon, Kümmel gemahlen 1kg;Gewürze;7;10,69;12,72
Gülcan Maydanoz, Petersilie getrocknet 1kg;Gewürze;7;10,29;11,01
Gülcan Sarimsak Granur, Knoblauch 1kg;Gewürze;7;7,29;7,8
Gülcan Toz Sarimsak, Knoblauchpulver 1kg Beutel;Gewürze;7;6;6,42
Gülcan Shoarma Würzsalz 1kg;Gewürze;7;6;6,42
Gülcan Sumak 1kg;Gewürze;7;10,29;11,01
Gülcan Tatli Toz Biber, paprika Edelsüß 1kg;Gewürze;7;6;6,42
Gülcan tavuk Baharat, Hähnchenwürzsalz 1kg;Gewürze;7;4,89;5,23
Gülcan 4 Mevsim Biber 180g;Gewürze;7;4,89;5,23
Gülcan 7 Türlü Baharat, 7 gemischte Gewürze 170g;Gewürze;7;1,59;1,7
Gülcan Aci Toz Biber, Paprika gemahlen 150g;Gewürze;7;1,59;1,7
Gülcan Anason  Anis ganz 150g;Gewürze;7;1,99;2,13
Gülcan Feslegen, Basilikum 70g;Gewürze;7;1,2;1,28
Gülcan Biberiye, Rosmarin 100g;Gewürze;7;1,2;1,28
Gülcan Biryani Baharati, Biryani Gewürz 180g;Gewürze;7;3,09;3,31
Gülcan Cemen Tane, Bockshornklee ganz 200g;Gewürze;7;1,19;1,27
Gülcan Cemen Unu, Bockshornklee gemahlen 200g;Gewürze;7;1,19;1,27
Gülcan Cija Tohumu, Chiasamen 200g;Gewürze;7;1,69;1,81
Gülcan Cigköfte Baharati, Hackfleischgewürz 200g;Gewürze;7;1,59;1,7
Gülcan Cörek otu, Schwarzkümmel 200g;Gewürze;7;1,69;1,81
Gülcan Cörek Süsü, Sesam Mix PET 200g;Gewürze;7;1,69;1,81
Gülcan Dere Otu, Dill getrocknet 180g;Gewürze;7;3,49;3,73
Gülcan Dere Otu, Dill getrocknet 50g;Gewürze;7;1,19;1,27
Gülcan Et Baharati, Fleischwürzsalz PET 200g;Gewürze;7;1,59;1,7
Gülcan Mangal Baharati, Grillgewürz 150g;Gewürze;7;1,59;1,7
Gülcan Hindistan cevizi, Kokosnuss 130g;Gewürze;7;1,49;1,59
Gülcan Hashas, Mohn 200g;Gewürze;7;1,59;1,7
Gülcan Isot Biber, Paprika 170g;Gewürze;7;1,69;1,81
Gülcan Kuru Nane, Minze getrocknet 60g;Gewürze;7;1,2;1,28
Gülcan  Aycekirdek, Sonneblumen geschält 200g;Gewürze;7;1,29;1,38
Gülcan Kabuksuz Kabak, kürbiskerne geschält 170g;Gewürze;7;1,99;2,13
Gülcan kekik Pul, Oregano 50g;Gewürze;7;1,39;1,49
Gülcan Kimyon frenk, Kreuzkümmel 180g;Gewürze;7;1,69;1,81
Gülcan Kimyon tane, Kreuzkümmel ganz 150g;Gewürze;7;2,19;2,34
Gülcan Kisnis tane, Koriander ganz 100g;Gewürze;7;1,29;1,38
Gülcan Kisnis Toz, Koriander gemahlen 150g;Gewürze;7;1,79;1,92
Gülcan Kori, Curry 200g;Gewürze;7;1,49;1,59
Gülcan Zerdecal, Kurkuma 200g;Gewürze;7;1,49;1,59
CalNort Brühwürfel Huhn 12x10g 120g;Gewürze;7;0,6;0,64
CalNort Brühwürfel Huhn 24x10g 240g;Gewürze;7;1,19;1,27
CalNort Brühwürfel Rind 12x10g 120g;Gewürze;7;0,6;0,64
CalNort Brühwürfel Rind 24x10g 240g;Gewürze;7;1,19;1,27
CalNort Hühnerbrühe Pulver 1kg;Gewürze;7;3,39;3,63
CalNort Rinderbrühe Pulver 1kg;Gewürze;7;3,39;3,63
Podravka Vegeta Gewürzmischung 250g;Gewürze;7;1,69;1,81
Podravka Vegeta Gewürzmischung 2kg;Gewürze;7;10,79;11,55
Podravka Vegeta Gewürzmischung 500g;Gewürze;7;2,99;3,2
Podravka Vegeta Gewürzmischung 10kg Eimer;Gewürze;7;44,99;48,14
Mr Oxy Professional Feuchttücher, Yüzey Temizlik Bezi 400St  Eimer;Verpackung/Reinigungsmittel/Hygiene;19;6,69;7,96
Gülcan Cigköftelik Bulgur, Weizen 1kg;Lebensmittel;7;1,39;1,49
Gülcan Pilavlik Bulgur, Weizen 1kg;Lebensmittel;7;1,39;1,49
Gülcan Midyat Pilavlik Bulgur Telsehriye, Weizen 5kg;Lebensmittel;7;6,49;6,94
Gülcan Midyat Pilavlik Bulgur Telsehriye 1kg;Lebensmittel;7;1,39;1,49
Gülcan Esmer Pilavlik Bulgur, Weizen 1kg;Lebensmittel;7;1,39;1,49
Gülcan Bulgur S´kitel , Weizen 1kg;Lebensmittel;7;1,39;1,65
Gülcan Midyat Pilavlik Bulgur, Weizen 5kg;Lebensmittel;7;6,49;6,94
Gülcan Bulgur S`kitel , Weizen 5kg;Lebensmittel;7;1,39;1,49
Gülcan Pilavlik Bulgur, Wiezen 5kg;Lebensmittel;7;1,39;1,49
Podravka Vegeta gewürzmischung 1kg;Gewürze;7;5,79;6,2
TK Aviko Sweet Potato Fries 5 9,5m 2,27kg;TK Tiefkühl;7;10,99;11,76
Spinat / Espinaca;Gemüse;7;15,6;16,69
Mangold / Acelga;Gemüse;7;13,99;14,97
Petersillien  20 Bund;Gemüse;7;15,6;16,69
Minze 20 Bund;Gemüse;7;12,99;13,9
Romana  10x2;Gemüse;7;11,99;12,83
Dill / Eneldo;Gemüse;7;12,99;13,9
Koriander / Cilantro  20 Bund;Gemüse;7;13,99;14,97
BINDEWALD Ährenglück Mehl T405  10kg;Lebensmittel;7;5,99;6,41
BINDEWALD Ährenglück Mehl T405  25kg;Lebensmittel;7;12,99;13,9
BINDEWALD Mehl Typ 00 Classica  10kg;Lebensmittel;7;5,9;6,31
BINDEWALD Weizenmehl T00 Classica  10x1kg;Lebensmittel;7;0,54;0,58
BINDEWALD Mehl T00 Classica  25kg;Lebensmittel;7;11,9;12,73
BINDEWALD Weizenmehl T550  25kg;Lebensmittel;7;11,79;12,62
BINDEWALD Weizenmehl T00 Superiore  10x1kg;Lebensmittel;7;0,64;0,68
BINDEWALD Weizenmehl T00 Superiore  10kg;Lebensmittel;7;6,99;7,48
Pimiento Picante Rojo 3kg (Kirmizi Aci, dünn spitz);Gemüse;7;0;0
Pimiento Picante Verde 3kg (Yesil Aci, dünn spitz);Gemüse;7;0;0
Asta Universal Würzmischung 1kg;Gewürze;7;1,89;2,25
Nergiz Aksiyon Domates Salca, Tomatenpaste Brix 22-24% 800g Dose;Konserven;7;0,99;1,06
Nergiz Aksiyon Nar Aromali Sos, Granatapfel Sauce 1,02kg;Saucen;7;1,49;1,59
Nergiz Aksiyon Limon Aromali Sos, Zitronensauce 1l;Saucen;7;0,79;0,85
Lorena schwarze Sonnenblumenkerne, geröstet viel gesalzen, Siyah Aycekirdegi Bol Tuzlu 150g;Lebensmittel;7;0,93;0,99
Lorena schwarze Sonnenblumenkerne, geröstet gesalzen, Siyah Aycekirdegi Tuzlu 150g;Lebensmittel;7;0,93;0,99
Nergiz Aksiyon Haslanmis Nohut, gekochte Kichererbsen 800g Dose;Konserven;7;0,79;0,85
